Site,Category,Homepage,Submit/Edit URL,Login,Reciprocal Badge,Paid,Recommendation,Notes
SoftwareSuggest,Software review,https://www.softwaresuggest.com,https://www.softwaresuggest.com/vendors,Yes,No,No,Blocked: account creation + required phone,"'List Your Product - It''s Free' looks like a public form but Next starts a vendor-portal account, and Phone * is REQUIRED alongside Name, Business Email, Organization, Website and Company Head Office. A phone number is a fact you often will not have and must never invent, so this needs the founder even once an account exists (verified 2026-09)."
Startup Fame,Startup directory,https://startupfa.me,https://startupfa.me/login,Yes,Unknown,Unknown,Blocked: login wall,"/submit 404s and every 'Submit your startup' / 'Submit' link on the site (header, hero and footer) points at /login. No public path (verified 2026-09)."
Startup Inspire,Startup directory,https://startupinspire.com,https://startupinspire.com/pricing,Yes,No,No,Conditional: account signup (free tier is real),"15,000+ startups listed. The Free package is genuine - 1 startup, instant approval, permanent listing, a permanent descriptive page and display on other product pages (Standard EUR19 / Premium EUR49 only add featuring and boosts). But Free > 'Submit now' routes to /signup (email + business name + password, or Sign in with Google), so a human must create the account first; after that the submission should be quick. Cookie banner renders in Italian - 'Rifiuta' is the privacy-preserving choice (verified 2026-09)."
TinyLaunch,Launch/indie directory,https://tinylaunch.com,https://tinylaunch.com/submit,Yes,Unknown,Unknown,Blocked: login wall,"/submit is a bare 'Welcome Back' auth screen (email, Google, GitHub, X). Nothing public. It markets itself as 'Launch Today, Get a Badge & High Authority Backlink', so expect a reciprocal badge requirement after sign-in (verified 2026-09)."
Open Launch,Launch platform,https://open-launch.com,https://open-launch.com/projects/submit,Yes,No,Partial,Conditional: free queue booked out - paid to launch now,"/submit 404s. The nav 'Submit Project' sits behind Sign In / Sign Up and there is a Pricing page. Not worth a turn without an account (verified 2026-09). CORRECTED 2026-09-20: the site is NOT dead - /submit 404s but the real path is /projects/submit, which redirects to /sign-in (Google / GitHub / email+password). DR72 free dofollow with no badge, so worth one human sign-in. UPDATED 2026-09-20 with a signed-in session: the 4-step form (Project Info > Details > Launch Date > Review) fills fine. Field notes: Short Description is a TipTap rich-text editor so type real keystrokes; two hidden file inputs (logo max 1MB 1:1, product image 16:9); Categories max 3; Tech Stack is a required tag input needing up to 5 real technologies (ask the founder rather than guessing); Platforms and Pricing Model required; an affiliate-program upsell block can be left empty. THE CATCH IS THE LAUNCH-DATE STEP: the FREE LAUNCH TIER IS FULLY BOOKED INTO 2027 (only a 'Notify me when free reopens' button, which does register), Premium Launch is $12 and is PRE-SELECTED by default, SEO Growth is $59, and the review screen says 'You will be redirected to the payment page after submission.' So the free dofollow listing is not currently obtainable - treat as paid-to-publish until free slots reopen."
SaaS Browser,SaaS database,https://saasbrowser.com,https://saasbrowser.com/en/users/sign_up,Yes,No,No,Blocked: login wall (but a CLAIM candidate),"'Add Your SaaS' redirects to /users/sign_up with 'You need to sign in or sign up before continuing.' Worth revisiting WITH an account for a different reason: the site crawls the web (516,904 SaaS tracked, 3,517 verified profiles, 557 categories) so an auto-generated profile for your product may already exist and only need claiming and verifying (verified 2026-09)."
BetaPage,Startup directory,https://betapage.co,https://pitchwall.co/submit,Yes,Unknown,Yes,Skip: merged into PitchWall,"betapage.co now 301s to pitchwall.co/submit - it is no longer a separate directory. PitchWall is already a Skip (free tier is a NOFOLLOW link + 30-day wait; dofollow only on $49-$99). Drop BetaPage from candidate lists (verified 2026-09)."
Feedmyapp,Startup directory,https://www.feedmyapp.com,https://pitchwall.co/submit,Yes,Unknown,Yes,Skip: merged into PitchWall,"feedmyapp.com now 301s to pitchwall.co/submit - the same consolidation as BetaPage. Several 2026 atlases still list it as a separate vetted directory; it is not. Drop from candidate lists (verified 2026-09)."
Startup Ranking,Startup directory,https://www.startupranking.com,https://www.startupranking.com/startup/create/url-validation,Unknown,Unknown,Unknown,Blocked: social login only,"/startup/submit returns 'Mmmmm! It seems there is a problem - Page not found'. No working public submit path found from the site (verified 2026-09). CORRECTED 2026-09-20: the site is NOT dead - the homepage 'Create Startup' button points at /startup/create/url-validation, which redirects to /login offering ONLY social sign-in (Google / Facebook / LinkedIn / X), with no email+password option and no public form. /startup/register does 404."
Good AI Tools,AI directory,https://www.goodaitools.com,https://www.goodaitools.com/submit-tool/,Yes,Unknown,Unknown,Skip: dead submit URL,"/submit-tool/ 404s. The header carries a Login button and the footer a 'Submit AI Tool' link, so any live path is probably account-gated. The site banner also pushes a paid 'We Submit Your SaaS to 140+ Directories' service. Recheck later (verified 2026-09)."
Crozdesk,SaaS review,https://www.crozdesk.com,https://www.crozdesk.com/vendors,Unknown,Unknown,Unknown,Skip: dead,"/vendors returns a bare unstyled 'Error 404 - Page not found. Unfortunately, this page doesn''t exist (any longer).' The site appears abandoned despite still being listed as vetted by 2026 directory atlases (verified 2026-09)."
Viesearch,Human-edited web directory,https://viesearch.com,https://viesearch.com/submit,No,No,No,Do (public form),"Free, human-edited, dofollow by stated terms. Plain public form, no login: URL + optional title/description + a type-to-filter category autocomplete (click the option) + email. Submitting opens a plan page; the $0 'Free / Basic' tier is the 'Join the Waiting List' button, which raises a confirm dialog ('Are you sure you want to wait in line?') - press 'Wait in Line', NOT the highlighted 'Activate Now' (that is the paid upsell). Result: 'Plan selected successfully! Please check your email to confirm your free submission.' HONEST CAVEAT the site itself publishes: free text listings have an 82%+ rejection ratio and a long queue. Express $8.40 / Featured $16.80/yr skip the queue. Submitted end-to-end (verified 2026-09)."
ExactSeek,Search engine / directory hybrid,https://www.exactseek.com,https://www.exactseek.com/add.html,No,No,No,Do (public form),"Free URL submission, no login. Four fields only (url, name, email, agree-to-ToS) and a Cloudflare Turnstile that auto-passes in an automated browser. Programmatic value-sets stick (plain HTML form). Confirmation page: 'Website Submitted - You need to confirm your submission by clicking the confirmation link in the email...' so a human must click the email link. Link type could not be confirmed from a live listing; treat as a citation rather than a guaranteed dofollow. Submitted end-to-end (verified 2026-09)."
Cipinet,Human-edited web directory,https://www.cipinet.com,https://www.cipinet.com/submit.php,No,No,No,Conditional: reCAPTCHA v2,"Free listing with NO reciprocal link required, running since 2002. Path: /submit.php > 'Select Free' > /suggest.php?action=addlink&TID=sf. Plain HTML form (programmatic value-sets stick): single-level category select, URL, title, description (230 char cap), email, ToS checkbox. Final step is a reCAPTCHA v2 'I'm not a robot' checkbox - hand to the person. Free review time is stated as 4-5 MONTHS (Premium $85 one-time / Featured $135/yr get 24h). Only top-level domains accepted on the free tier (verified 2026-09)."
SoMuch,Human-edited link directory,https://www.somuch.com,https://www.somuch.com/submit-links/,No,No,No,Conditional: reCAPTCHA v2,"Free listing, no login, running since 1997. TWO-STEP: /submit-links/ shows guidelines with a 'tos' checkbox and a Continue input - tick and continue to /submit-links/submit-link for the real form. Fields: txtLink, txtTitle (65 cap), txtEmail, drpTopicID then a dependent drpCategoryID (set the topic and dispatch change, wait ~2s for the category list to load), txtInfo (255 cap). Good landscaping fit: topic 'Property and Real Estate' (114) > category 'Lawn Care, Landscape' (1078). Final step is a reCAPTCHA v2 checkbox - hand to the person. Links are auto-deleted if the emailed verification is not clicked within 3 days. Accelerated approval $8.95/yr (verified 2026-09)."
ProLinkDirectory,Human-edited web directory,https://www.prolinkdirectory.com,https://www.prolinkdirectory.com/submit.php,No,No,No,Conditional: image CAPTCHA,"The 'Regular link' LINK_TYPE radio is genuinely Free (others: lifetime featured $59, 3-month featured $9, lifetime top regular $19, +$10 for deep links). Plain HTML form, programmatic value-sets stick. GOTCHA: CATEGORY_ID is a hidden field driven by a JS folder-tree widget - click 'Change category', then drill the scrollable tree (e.g. House & Garden > Landscaping = 369); typing into the hidden field does nothing. Final step is an IMAGE CAPTCHA ('enter the code shown') - hand to the person (verified 2026-09)."
LaunchPact,Startup directory,https://www.launchpact.io,https://www.launchpact.io/startups/submit,Yes,Yes,Partial,Blocked: login wall,"Free listing in exchange for a homepage badge (dofollow to /startups), or bid from $10 to rank higher. The submit page looks login-free and advertises 'Paste a URL. We draft the listing.', but pressing 'Scan startup' redirects to /login?next=... (Google or email+password). Own domain required; free-host subdomains rejected. Worth one human sign-in - the AI drafts the whole listing from the URL (verified 2026-09)."
Toolcurio,Software/AI directory,https://toolcurio.com,https://toolcurio.com/submit,No,Yes,Partial,Skip: free tier broken,"4-step flow (Plan > Details > Media > Launch), no login. Selecting 'Standard (Free) $0' correctly reveals the badge HTML (<a href=https://toolcurio.com rel=dofollow><img src=https://toolcurio.com/badge-light.png>), but the Continue button then stays DISABLED - the free path cannot advance. Premium $5 / Featured $10 jump straight to a Polar checkout. Revisit only if they fix the free flow (verified 2026-09)."
LinkCentre,Web/business directory,https://www.linkcentre.com,https://www.linkcentre.com/addurl/,Yes,No,Partial,Blocked: account creation,"~2,485 referring domains, online since 1996. The add-URL box is public but pressing 'Add Website' routes to /get-started/create/, a full create-account form (first/last name, email, PASSWORD, business name, country). Cookie banner appears on first load (Reject All works). Account creation is off-limits per the golden rules (verified 2026-09)."
SitePromotionDirectory,Web directory,https://www.sitepromotiondirectory.com,https://www.sitepromotiondirectory.com/submit.php,No,Yes,Partial,Skip: dead free queue,"Free tier exists but needs BOTH a reciprocal link (RECPR_URL/RECPR_TEXT fields) and an image CAPTCHA, and the site's own counters read 7,190 active links against 215,710 PENDING - the free queue is effectively abandoned. Not worth a submission (verified 2026-09)."
FreePRWebDirectory,Web directory,https://www.freeprwebdirectory.com,https://www.freeprwebdirectory.com/submit.php,No,No,Partial,Skip: low-quality link farm,"Free tier plus image CAPTCHA and a working form, but the site is a keyword-stuffed SEO farm - its <title> is a comma-separated keyword dump (SEO, web marketing, Forex, Web Hosting...). A link from here is likelier to hurt a clean backlink profile than help it (verified 2026-09)."
AItoolMall,AI directory,https://aitoolmall.com,https://aitoolmall.com/submit/,Unknown,No,Unknown,Skip: brand safety,"Rejected on brand safety, not mechanics: the site's own footer navigation prominently carries NSFW categories (deepnude generator, AI clothing remover, NSFW character AI, AI girlfriend). Do not list consumer or B2B brands here (verified 2026-09)."
SoftwareWorld,B2B software review,https://www.softwareworld.co,https://www.softwareworld.co/get-listed/,Yes,No,Yes,Skip: paid (claim is free),"CHANGED: claiming an EXISTING profile is still free, but publishing a NEW software or service listing now costs a one-time $99 approval fee after vendor-account activation. /submit-software/ 404s; use /get-listed/, which redirects to /register/. A Cloudflare 'performing security verification' interstitial appears on first load and clears itself (verified 2026-09)."
Findly.tools,Tools directory,https://findly.tools,https://findly.tools/submit,Yes,No,Partial,Blocked: login wall,DR81 - among the highest-DR free-tier directories still open. /submit redirects to /sign-in?from=/submit (GitHub / Google / email+password) with no public form. High priority for a one-time human sign-in (verified 2026-09).
Huzzler,Product directory,https://huzzler.so,https://huzzler.so/products/create,Yes,No,Partial,Blocked: login wall,"DR63, free + paid, dofollow. /submit-product renders a marketing page whose 'Submit your startup' button points at /products/create, which is behind Login / Sign up (verified 2026-09)."
OpenHunts,Launch platform,https://openhunts.com,https://openhunts.com/projects/submit,Yes,No,Partial,Blocked: login wall,"DR70, free + paid, dofollow. /projects/submit renders a sign-in wall (Google / GitHub / email+password). Sister site of Open Launch and Nick Launches (verified 2026-09)."
Unite List,AI/product directory,https://unitelist.com,https://unitelist.com/submit,Yes,Yes,No,Blocked: login wall (badge tier),"DR58, free dofollow with a required badge. /submit shows the same 'Log in to Submit - Log in with Google' screen as Acid Tools (verified 2026-09)."
Promote Project,Startup directory,https://www.promoteproject.com,https://www.promoteproject.com,Yes,No,Partial,Blocked: login wall,"DR49, free dofollow. /submit 404s; the header 'Submit startup' link is href=# and opens a JS login modal (Google or email+password, with 'Register with email'). Needs a human account (verified 2026-09)."
Super Launch,Launch platform,https://superlaun.ch,https://superlaun.ch/dashboard/submit,Yes,No,Partial,Blocked: login wall,"DR62, free + paid, dofollow. The only submit entry point on the homepage is 'Launch Now' -> /dashboard/submit, i.e. account required (verified 2026-09)."
Versily,Launch platform,https://versily.com,https://versily.com,Yes,No,Partial,Blocked: login wall,"DR68, free, dofollow, and NO badge required - one of the better free targets once an account exists. /submit 404s; the documented flow is create an account, complete the profile, then submit the product (verified 2026-09)."
AbiLogic,Web directory,https://www.abilogic.com,https://www.abilogic.com/add.html,Unknown,No,Unknown,Skip: site down,Every page returns 'Our web site is temporarily unavailable due to maintenance and/or an unanticipated problem.' Recheck in a future run (verified 2026-09).
Pegasus Directory,Web directory,https://pegasusdirectory.com,https://pegasusdirectory.com,Yes,No,Unknown,Skip: dead,Now a WooCommerce/Storefront shell with an 'Add Listing' menu item; /submit.php and /add-listing/ both return the theme's 404. Still cited by older free-directory lists - ignore them (verified 2026-09).
Gimpsy,Web directory,https://gimpsy.com,https://gimpsy.com,Yes,No,Partial,Skip: broken submit path,"The site is alive and has a 'Suggest a Site' nav item, but /gimpsy/add-site.php and /gimpsy/suggest-site.php both return Gimpsy's own 'Page Not Found' error. Submission path broken (verified 2026-09)."
DirectoryWorld,Web directory,https://www.directoryworld.net,https://www.directoryworld.net,Unknown,No,Unknown,Skip: dead,/submit.php returns HTTP 404 from the server (verified 2026-09).
Secret Search Engine Labs,Web directory,https://www.secretsearchenginelabs.com,https://www.secretsearchenginelabs.com/add-url.php,No,No,Partial,Skip: unreachable,"Listed by third parties as a free human-edited directory with the fastest review of its peer group, but Chrome could not load the domain at all across repeated attempts - navigation silently failed with no page rendered (DNS/hosting). Recheck later (verified 2026-09)."
ToolsForHumans,AI directory,https://www.toolsforhumans.ai,https://www.toolsforhumans.ai,Unknown,No,Yes,Skip: dead + paid,/submit-tool 404s; the only route offered is a paid 'promote your tool' page (verified 2026-09).
OpenFuture.ai,AI directory,https://openfuture.ai,https://openfuture.ai/submit,Unknown,No,Unknown,Skip: low quality,"40,000+ tools indexed, but /submit just renders the tool grid with no submission form, and the footer carries a large block of gambling/casino affiliate links. Skip on quality (verified 2026-09)."
DevHunt,Dev tools directory,https://devhunt.org,https://devhunt.org/submit,Yes,No,Partial,Skip: dead + narrow fit,"DR63 and still cited on directory lists, but /submit 404s. Also dev-tools-only, so a weak fit for consumer or vertical SaaS products even if the path is restored (verified 2026-09)."
Toolsfine,AI directory,https://www.toolsfine.com,https://www.toolsfine.com/submit/,Unknown,No,Unknown,Skip: dead,DR64 on directory lists but /submit/ returns 'This page is no longer available' (verified 2026-09).
Alternative.me,Software directory,https://alternative.me,https://alternative.me/submit,Unknown,No,Unknown,Skip: no public submit path,"Cited on multiple lists as DR75 free dofollow, but /submit returns 'Error 404 - File not found' and no submission route could be found from the site (verified 2026-09)."
TrustMRR,Revenue database / marketplace,https://trustmrr.com,https://trustmrr.com/dashboard,Yes,No,Partial,Skip: fit,"DR71 and free, but it is a verified-revenue database, not a directory: publishing a profile means connecting a supported payment provider and exposing revenue data. Only appropriate if the founder actively wants that. /submit 404s (verified 2026-09)."
AI Scout,AI directory,https://aiscout.net,https://aiscout.net/submit,Unknown,Unknown,Unknown,Skip: down,Submit page returns Cloudflare ERROR 520 (verified 2026-09).
LaunchDirectories (research resource),Directory registry - NOT a directory,https://launchdirectories.com,https://launchdirectories.com/free-startup-directories,No,No,No,Resource: use for discovery,"NOT a place to list a product - it is the best discovery source found so far. /free-startup-directories is a hand-maintained table of 128 startup directories with Ahrefs DR, Moz DA, monthly traffic, dofollow/nofollow, cost, and an explicit 'badge required' flag, refreshed monthly, plus filters for 'Free to submit' and 'No badge required'. /free-web-directories covers the 22 surviving general web directories. Start targeting runs here when the registry is exhausted. They also sell a done-for-you submission service, so read the rankings with that in mind (verified 2026-09)."
LaunchNest,Launch platform / product directory,https://launchnest.io,https://launchnest.io/submit,Yes,Yes,Partial,Conditional: reciprocal badge (free tier),"DR62. The free $0 tier is REAL and was completed end-to-end (verified 2026-09): permanent listing page, fortnightly tournament entry, queue-based launch (free slot shown ~6 weeks out), and the badge is mandatory - installing and verifying it upgrades the link to dofollow permanently. Featured $19/7d and Featured SEO $35/15d skip both queue and badge. TRAP: /submit loads with the PAID Featured tier pre-selected and a banner reading 'You picked Featured - 7 days - $19. Submitting takes you straight to payment'; click the FREE card in the right-hand plan column FIRST and the primary button flips from 'Submit & continue to payment' to 'Continue to badge install'. Form is a Next.js server-action form: value-sets stick if you use the native value setter plus an input event, but note name=""description"" also matches a META tag so scope the selector to textarea/input. Fields: name (60), websiteUrl, authorName, tagline (80), description (2000, min 40), keyFeatures (one per line, up to 8, rendered as a checklist), logo and a 1200x630 preview (both real file inputs, max 3MB, they upload to launchnest.io/img/... and fill hidden logoUrl/screenshotUrl), pricing select, up to 3 categories, optional docs/pricing/blog/github/x/discord links. After submit you land on /badges with the listing at /p/<slug> marked 'Pending - verify to publish'. Pick the 'Listed on' badge variant, not 'Featured on', if you are on the free tier. They verify that the badge image is present at the listed URL, wrapped in a link to the LaunchNest listing, and NOT marked nofollow/sponsored/ugc."
